Date,Open,High,Low,Close,Volume,Adj Close,,,,
3/11/08,14436.03,15317.83,11814.81,13888.24,2634674400,13888.24,,,,
2/10/08,17870.43,18285.68,10676.29,13968.67,3719903000,13968.67,,,,
1/9/08,20999.32,21066.58,16283.72,18016.21,3103854200,18016.21,,,,
1/8/08,22497.9,22881.27,20350.48,21261.89,1846791400,21261.89,,,,
2/7/08,21785.39,23369.05,20988.74,22731.1,2124493900,22731.1,,,,
2/6/08,24542.29,24923.28,21773.67,22102.01,1942830800,22102.01,,,,
1/5/08,25755.35,26387.37,24100.31,24533.12,1886112300,24533.12,,,,
1/4/08,23084.93,26066.5,22700.5,25755.35,2356963600,25755.35,,,,
3/3/08,23491.57,23923.2,20572.92,22849.2,2562409600,22849.2,,,,
1/2/08,23791.92,25101.41,22569.53,24331.67,2330303800,24331.67,,,,
2/1/08,27632.2,27853.6,21709.63,23455.74,3182325300,23455.74,,,,
3/12/07,28825.03,29962.93,26093.96,27812.65,2006839600,27812.65,,,,
1/11/07,31783.47,31897.49,25861.73,28643.61,2726732600,28643.61,,,,
1/10/07,27142.47,31958.41,26746.63,31352.58,3226831100,31352.58,,,,
3/9/07,23611.02,27254.97,23578.11,27142.47,2289364600,27142.47,,,,
1/8/07,23018.2,24089,19386.72,23984.14,2768894200,23984.14,,,,
3/7/07,22004.14,23557.74,21960.76,23184.94,2196569000,23184.94,,,,
1/6/07,20717.27,22085.59,20433.52,21772.73,1915006900,21772.73,,,,
1/5/07,20318.98,21088.86,20184.48,20634.47,1283781000,20634.47,,,,
2/4/07,19900.01,20868.07,19672.94,20318.98,1524771100,20318.98,,,,
1/3/07,19581.86,19880.26,18659.23,19800.93,1335275000,19800.93,,,,
1/2/07,20251.57,20844.25,19381.88,19651.51,1040560100,19651.51,,,,
2/1/07,20004.84,20971.46,19350.5,20106.42,1346183300,20106.42,,,,
1/12/06,18922.53,20049.03,18587.72,19964.72,1105896000,19964.72,,,,
1/11/06,18376.39,19404.01,18376.39,18960.48,971056600,18960.48,,,,
2/10/06,17543.05,18465.54,17428.1,18324.35,734552100,18324.35,,,,
1/9/06,17373.17,17683.45,16921.53,17543.05,607846600,17543.05,,,,
1/8/06,16990.22,17506.21,16811.42,17392.27,306730200,17392.27,,,,
3/7/06,16288.59,17114.2,15948.76,16971.34,289125100,16971.34,,,,
1/6/06,15817.82,16273.74,15204.86,16267.62,411741800,16267.62,,,,
2/5/06,16764.59,17328.43,15626.95,15857.89,483641300,15857.89,,,,
3/4/06,15904.97,16991.52,15877.44,16661.3,410640000,16661.3,,,,
1/3/06,15768.21,15973.01,15348.22,15805.04,375937600,15805.04,,,,
1/2/06,15798.44,15999.31,15240.95,15918.48,450391000,15918.48,,,,
3/1/06,14843.97,15816.54,14843.97,15753.14,528894900,15753.14,,,,
1/12/05,14881.22,15272.72,14811.64,14876.43,316554100,14876.43,,,,
1/11/05,14485.35,15133.88,14317.51,14937.14,293750200,14937.14,,,,
3/10/05,15399.87,15493,14189.47,14386.37,385643200,14386.37,,,,
1/9/05,15031.52,15470.51,14943.61,15428.52,304211900,15428.52,,,,
1/8/05,14892.73,15508.57,14734.43,14903.55,390407200,14903.55,,,,
4/7/05,14188.35,14899.71,13920.87,14880.98,435367400,14880.98,,,,
1/6/05,13817.27,14365.05,13745.68,14201.06,392294600,14201.06,,,,
3/5/05,13969.64,14112.61,13541.77,13867.07,265215900,13867.07,,,,
1/4/05,13495.66,13956.52,13337.44,13908.97,302297000,13908.97,,,,
1/3/05,14031.22,14085.85,13357.17,13516.88,346155100,13516.88,,,,
1/2/05,13714.42,14272.54,13454.4,14195.35,366170500,14195.35,,,,
3/1/05,14216.04,14267.21,13320.53,13721.69,390656300,13721.69,,,,
1/12/04,14005.91,14339.06,13760.11,14230.14,305089600,14230.14,,,,
1/11/04,13039.4,14137.32,13001.32,14060.05,420761600,14060.05,,,,
4/10/04,13347.17,13402.96,12743.42,13054.66,324820300,13054.66,,,,
1/9/04,12924.13,13356.88,12865.06,13120.03,379702100,13120.03,,,,
2/8/04,12233.63,12904.24,12131.76,12850.28,267136000,12850.28,,,,
2/7/04,12052.36,12399.37,11862.68,12238.03,230096500,12238.03,,,,
1/6/04,12172.23,12538.65,11781.82,12285.75,281059000,12285.75,,,,
3/5/04,11876.2,12222.26,10917.65,12198.24,341765200,12198.24,,,,
1/4/04,12679.43,13126.15,11856.34,11942.96,355172600,11942.96,,,,
1/3/04,14021.36,14058.21,12400.35,12681.67,316105700,12681.67,,,,
2/2/04,13158.26,13984.38,12877.09,13907.03,314491400,13907.03,,,,
2/1/04,12664.99,13780.71,12664.99,13289.37,409778700,13289.37,,,,
1/12/03,12306.26,12740.5,12111.23,12575.94,292526900,12575.94,,,,
3/11/03,12222.44,12537.19,11661.47,12317.47,250865600,12317.47,,,,
2/10/03,11372.53,12304.57,11372.53,12190.1,390909800,12190.1,,,,
1/9/03,10937.79,11444.72,10762.03,11229.87,359319400,11229.87,,,,
1/8/03,10184.43,10934.52,9924.14,10908.99,304243300,10908.99,,,,
2/7/03,9613.57,10236.89,9512.2,10134.83,289134000,10134.83,,,,
2/6/03,9582.01,10067.86,9526.92,9577.12,276205300,9577.12,,,,
2/5/03,8707.43,9587.17,8707.43,9487.38,253899000,9487.38,,,,
1/4/03,8608.79,8973.81,8331.87,8717.22,267099100,8717.22,,,,
3/3/03,9141.46,9316.27,8586.7,8634.45,230279800,8634.45,,,,
4/2/03,9327.32,9463.99,9029.95,9122.66,170243500,9122.66,,,,
2/1/03,9333.64,9892.7,9179.24,9258.95,192243500,9258.95,,,,
2/12/02,10107.96,10246.86,9244.9,9321.29,245944300,9321.29,,,,
1/11/02,9467.89,10170.3,9388.35,10069.87,281344700,10069.87,,,,
2/10/02,9227.38,9860.87,8772.48,9441.25,269084500,9441.25,,,,
2/9/02,10039.67,10044.57,9014.58,9072.21,213995000,9072.21,,,,
1/8/02,10244.53,10478.65,9632.98,10043.87,179985800,10043.87,,,,
2/7/02,10511.12,10939.56,9687.5,10267.36,210189600,10267.36,,,,
3/6/02,11339.2,11475.19,10291.16,10598.55,216215100,10598.55,,,,
2/5/02,11577.57,12021.72,11260.2,11301.94,274394800,11301.94,,,,
2/4/02,11032.36,11497.58,10610.76,11497.58,249200500,11497.58,,,,
1/3/02,10453.88,11381.85,10387.49,11032.92,281764100,11032.92,,,,
1/2/02,10764.03,11108.48,10393.83,10482.55,247992700,10482.55,,,,
2/1/02,11368.13,11905.55,10671.77,10725.3,292835200,10725.3,,,,
3/12/01,11253.98,11957.83,11049.15,11397.21,281555800,11397.21,,,,
1/11/01,10110.92,11525.26,10097.64,11279.25,360752500,11279.25,,,,
3/10/01,9995.22,10638.58,9758.98,10073.97,338027500,10073.97,,,,
3/9/01,11058.8,11180.79,8894.36,9950.7,248921900,9950.7,,,,
1/8/01,12376.31,12544.64,11003.95,11090.48,229193400,11090.48,,,,
3/7/01,13068.3,13236.98,12003.16,12316.69,156432100,12316.69,,,,
1/6/01,13244.1,13900.68,12787.01,13042.53,0,13042.53,,,,
2/5/01,13596.27,13989.16,13091.51,13174.41,0,13174.41,,,,
2/4/01,12750.31,13621.8,12061.55,13386.04,0,13386.04,,,,
1/3/01,14696.47,14696.47,12396.97,12760.64,0,12760.64,,,,
1/2/01,16055.64,16274.67,14573.54,14787.87,0,14787.87,,,,
2/1/01,15089.85,16255.11,14512.71,16102.35,0,16102.35,,,,
1/12/00,14026.21,15637.78,13920.11,15095.53,0,15095.53,,,,
1/11/00,14943.43,16023.41,13894.19,13984.39,0,13984.39,,,,
3/10/00,15586.03,16245.61,14107.74,14895.34,0,14895.34,,,,
1/9/00,17210.33,17803.2,14538.88,15648.98,0,15648.98,,,,
1/8/00,17014.44,17794.32,16787.46,17097.51,0,17097.51,,,,
3/7/00,16177.06,18125.57,15928.92,16840.98,0,16840.98,,,,
1/6/00,14652.9,16534.48,14652.9,16155.78,0,16155.78,,,,
